title,link,pubDate,text_cleaned,text_processed
Thousands march for Palestine as Israel and Hamas resume fighting - Al Jazeera English,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vZ2FsbGVyeS8yMDIzLzEyLzEvdGhvdXNhbmRzLW1hcmNoLWZvci1wYWxlc3RpbmUtYXMtaXNyYWVsLWFuZC1oYW1hcy1yZXN1bWUtZmlnaHRpbmfSAXFodHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9nYWxsZXJ5LzIwMjMvMTIvMS90aG91c2FuZHMtbWFyY2gtZm9yLXBhbGVzdGluZS1hcy1pc3JhZWwtYW5kLWhhbWFzLXJlc3VtZS1maWdodGluZw?oc=5,"Fri, 01 Dec 2023 19:41:21 GMT",thousands march for palestine as israel and hamas resume fighting  al jazeera english,thousands march palestine israel hamas resume fighting al jazeera english
"Israel-Hamas war: List of key events, day 58 - Al Jazeera English",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIzLzEyLzMvaXNyYWVsLWhhbWFzLXdhci1saXN0LW9mLWtleS1ldmVudHMtZGF5LTU40gFXaHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvbmV3cy8yMDIzLzEyLzMvaXNyYWVsLWhhbWFzLXdhci1saXN0LW9mLWtleS1ldmVudHMtZGF5LTU4?oc=5,"Sun, 03 Dec 2023 09:45:10 GMT",israelhamas war list of key events day   al jazeera english,israelhamas war list key events day al jazeera english
Israel Gaza war: History of the conflict explained - BBC.com,https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9uZXdzYmVhdC00NDEyNDM5NtIBLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9uZXdzYmVhdC00NDEyNDM5Ni5hbXA?oc=5,"Wed, 15 Nov 2023 08:00:00 GMT",israel gaza war history of the conflict explained  bbccom,israel gaza war history conflict explained bbccom
Israel-Gaza war updates: 100s killed in last 24 hours in Israeli strikes - Al Jazeera English,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy9saXZlYmxvZy8yMDIzLzEyLzMvaXNyYWVsLWdhemEtd2FyLWxpdmUtaXNyYWVsLWJvbWJhcmRzLWdhemEtYXMtdGFsa3MtYnJlYWstZG93btIBAA?oc=5,"Sun, 03 Dec 2023 15:59:39 GMT",israelgaza war updates s killed in last  hours in israeli strikes  al jazeera english,israelgaza war updates s killed last hours israeli strikes al jazeera english
Fact or fiction? Israeli maps and AI do not save Palestinian lives - Al Jazeera English,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vb3BpbmlvbnMvMjAyMy8xMi80L2ZhY3Qtb3ItZmljdGlvbi1pc3JhZWxpLW1hcHMtYW5kLWFpLWRvLW5vdC1zYXZlLXBhbGVzdGluaWFuLWxpdmVz0gFyaHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvb3BpbmlvbnMvMjAyMy8xMi80L2ZhY3Qtb3ItZmljdGlvbi1pc3JhZWxpLW1hcHMtYW5kLWFpLWRvLW5vdC1zYXZlLXBhbGVzdGluaWFuLWxpdmVz?oc=5,"Mon, 04 Dec 2023 16:02:59 GMT",fact or fiction israeli maps and ai do not save palestinian lives  al jazeera english,fact fiction israeli maps ai do save palestinian lives al jazeera english
Israel orders evacuations as onslaught on Gaza widens - Al Jazeera English,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIzLzEyLzQvaXNyYWVsLWNhbGxzLWZvci1ldmFjdWF0aW9ucy1hcy1pdC13aWRlbnMtb2ZmZW5zaXZlLW9uLWdhemHSAWhodHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9uZXdzLzIwMjMvMTIvNC9pc3JhZWwtY2FsbHMtZm9yLWV2YWN1YXRpb25zLWFzLWl0LXdpZGVucy1vZmZlbnNpdmUtb24tZ2F6YQ?oc=5,"Mon, 04 Dec 2023 10:01:03 GMT",israel orders evacuations as onslaught on gaza widens  al jazeera english,israel orders evacuations onslaught gaza widens al jazeera english
Israel-Hamas war updates: Over 175 killed as Israeli resumes Gaza attacks - Al Jazeera English,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy9saXZlYmxvZy8yMDIzLzEyLzEvaXNyYWVsLWhhbWFzLXdhci1saXZlLXJlbGllZi1hbmQtam95LWFzLW1vcmUtcGFsZXN0aW5pYW4tcHJpc29uZXJzLWZyZWVk0gEA?oc=5,"Fri, 01 Dec 2023 17:30:18 GMT",israelhamas war updates over  killed as israeli resumes gaza attacks  al jazeera english,israelhamas war updates over killed israeli resumes gaza attacks al jazeera english
"Israel-Gaza war updates: 'No negotiations now on truce', says Hamas - Al Jazeera English",https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy9saXZlYmxvZy8yMDIzLzEyLzIvaXNyYWVsLWhhbWFzLXdhci1saXZlLWlzcmFlbGktYm9tYnMtcmFpbi1kb3duLW9uLWdhemEtYWZ0ZXItdHJ1Y2UtY29sbGFwc2XSAQA?oc=5,"Sat, 02 Dec 2023 21:06:39 GMT",israelgaza war updates no negotiations now on truce says hamas  al jazeera english,israelgaza war updates no negotiations now truce says hamas al jazeera english
"Telecommunications, internet down in Gaza as Israeli strikes intensify - Al Jazeera English",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIzLzEyLzQvdGVsZWNvbW11bmljYXRpb25zLWludGVybmV0LWRvd24taW4tZ2F6YS1hcy1pc3JhZWxpLXN0cmlrZXMtaW50ZW5zaWZ50gFyaHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvbmV3cy8yMDIzLzEyLzQvdGVsZWNvbW11bmljYXRpb25zLWludGVybmV0LWRvd24taW4tZ2F6YS1hcy1pc3JhZWxpLXN0cmlrZXMtaW50ZW5zaWZ5?oc=5,"Mon, 04 Dec 2023 21:01:48 GMT",telecommunications internet down in gaza as israeli strikes intensify  al jazeera english,telecommunications internet down gaza israeli strikes intensify al jazeera english
"Is Israel criminalising Palestinian thoughts too, amid Gaza war? - Al Jazeera English",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIzLzEyLzIvaXMtaXNyYWVsLWNyaW1pbmFsaXNpbmctcGFsZXN0aW5pYW4tdGhvdWdodHMtdG9vLWFtaWQtZ2F6YS13YXLSAWtodHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9uZXdzLzIwMjMvMTIvMi9pcy1pc3JhZWwtY3JpbWluYWxpc2luZy1wYWxlc3Rpbmlhbi10aG91Z2h0cy10b28tYW1pZC1nYXphLXdhcg?oc=5,"Sat, 02 Dec 2023 09:02:01 GMT",is israel criminalising palestinian thoughts too amid gaza war  al jazeera english,israel criminalising palestinian thoughts too amid gaza war al jazeera english
